step,contractID,size,action,status,capital,portfolio value,pnl
0,IBM250321P00240000,1,S,Success,10016.1,-17.55,-1.4502
1,IBM260116C00130000,1,B,Success,9911.2,84.35,-4.45117
2,IBM250417C00105000,1,B,Success,9781.2,210.25,-8.55078
3,IBM250718P00240000,1,S,Success,9801.8,187.1,-11.1016
4,IBM270115P00230000,1,B,Success,9773,215.05,-11.9512
5,IBM241220C00255000,1,B,Success,9772.88,215.09,-12.0312
6,IBM250117C00205000,1,S,Success,9800.23,185.94,-13.8311
7,IBM250718P00255000,1,B,Success,9767.38,216.79,-15.8311
8,IBM241220C00200000,1,B,Success,9733.63,248.09,-18.2812
9,IBM241213C00145000,1,B,Success,9645.03,334.04,-20.9307
0,IBM250620C00080000,1,B,Success,9492.38,478.88,-28.7412
1,IBM250221C00295000,1,S,Success,9492.66,477.65,-29.6904
2,IBM250103C00275000,1,S,Success,9492.66,477.65,-29.6904
3,IBM250321C00140000,1,S,Success,9583.11,384.95,-31.9404
4,IBM250919C00170000,1,B,Success,9516.61,448.35,-35.041
5,IBM250110P00270000,1,S,Success,9555.06,406.7,-38.2402
0,IBM250718P00195000,1,S,Success,9559.46,415.87,-24.6699
1,IBM250718C00195000,1,B,Success,9513.91,459.27,-26.8203
2,IBM241213C00252500,1,B,Success,9512.76,459.27,-27.9707
3,IBM241227C00230000,1,S,Success,9518.11,453.62,-28.2705
4,IBM250117P00165000,1,B,Success,9517.15,453.62,-29.2305
5,IBM250919P00155000,1,B,Success,9515.14,454.92,-29.9404
0,IBM241220P00237500,1,B,Success,9507.39,450.87,-41.7402
1,IBM250417C00145000,1,B,Success,9418.64,536.62,-44.7402
2,IBM250110C00125000,1,B,Success,9311.14,640.87,-47.9902
3,IBM250221C00205000,1,B,Success,9280.29,670.27,-49.4395
4,IBM250620C00110000,1,S,Success,9400.69,546.82,-52.4893
5,IBM250131P00285000,1,S,Success,9453.24,490.62,-56.1396
0,IBM241227P00225000,1,S,Success,9454.75,477.66,-67.5898
1,IBM250110P00195000,1,B,Success,9453.96,477.66,-68.3799
